,ID,Name,Result,Class
157,158,n158,5,G
158,159,n159,8,B
159,160,n160,33,D
160,161,n161,2,C
161,162,n162,49,E
162,163,n163,71,G
163,164,n164,90,B
164,165,n165,95,C
165,166,n166,86,E
166,167,n167,35,A
167,168,n168,25,A
168,169,n169,84,G
169,170,n170,6,C
170,171,n171,9,D
171,172,n172,78,G
172,173,n173,81,D
173,174,n174,7,C
174,175,n175,84,E
175,176,n176,68,G
176,177,n177,93,A
177,178,n178,45,C
178,179,n179,5,A
179,180,n180,98,F
180,181,n181,1,C
181,182,n182,3,G
182,183,n183,41,B
183,184,n184,92,E
184,185,n185,93,D
185,186,n186,61,C
186,187,n187,85,D
187,188,n188,39,F
188,189,n189,58,D
189,190,n190,61,F
190,191,n191,81,G
191,192,n192,90,A
192,193,n193,66,F
193,194,n194,17,A
194,195,n195,26,A
195,196,n196,52,F
196,197,n197,83,D
197,198,n198,44,D
198,199,n199,46,A
199,200,n200,75,A
200,201,n201,92,B
201,202,n202,72,D
202,203,n203,64,A
203,204,n204,49,A
204,205,n205,0,A
205,206,n206,92,F
206,207,n207,99,E
207,208,n208,52,G
208,209,n209,9,E
209,210,n210,72,G
210,211,n211,20,E
211,212,n212,53,B
212,213,n213,23,F
213,214,n214,91,E
214,215,n215,1,C
215,216,n216,90,A
216,217,n217,90,D
217,218,n218,89,A
218,219,n219,38,A
219,220,n220,100,G
220,221,n221,60,G
221,222,n222,32,G
222,223,n223,9,C
223,224,n224,49,C
224,225,n225,90,A
225,226,n226,75,F
226,227,n227,36,D
227,228,n228,1,A
228,229,n229,29,E
229,230,n230,7,B
230,231,n231,39,G
231,232,n232,55,F
232,233,n233,30,G
233,234,n234,49,E
234,235,n235,37,A
235,236,n236,82,F
236,237,n237,52,G
237,238,n238,63,F
238,239,n239,9,B
239,240,n240,39,G
240,241,n241,65,C
241,242,n242,38,B
242,243,n243,61,A
243,244,n244,52,A
244,245,n245,17,C
245,246,n246,11,E
246,247,n247,42,D
247,248,n248,69,F
248,249,n249,57,D
249,250,n250,47,A
250,251,n251,20,B
251,252,n252,72,D
252,253,n253,50,C
253,254,n254,53,D
254,255,n255,84,G
255,256,n256,76,F
256,257,n257,28,C
257,258,n258,57,C
258,259,n259,59,F
259,260,n260,9,D
260,261,n261,77,G
261,262,n262,54,A
262,263,n263,92,G
263,264,n264,93,F
264,265,n265,64,B
265,266,n266,3,C
266,267,n267,6,D
267,268,n268,44,B
268,269,n269,13,F
269,270,n270,97,G
270,271,n271,78,B
271,272,n272,94,G
272,273,n273,36,D
273,274,n274,14,D
274,275,n275,37,F
275,276,n276,15,F
276,277,n277,23,G
277,278,n278,61,C
278,279,n279,71,A
279,280,n280,34,G
280,281,n281,36,B
281,282,n282,31,F
282,283,n283,87,C
283,284,n284,4,B
284,285,n285,64,G
285,286,n286,21,E
286,287,n287,79,E
287,288,n288,98,C
288,289,n289,67,E
289,290,n290,98,F
290,291,n291,67,D
291,292,n292,5,C
292,293,n293,16,D
293,294,n294,83,E
294,295,n295,54,C
295,296,n296,39,C
296,297,n297,64,E
297,298,n298,47,C
298,299,n299,53,F
299,300,n300,46,E
300,301,n301,59,F
301,302,n302,18,G
302,303,n303,6,F
303,304,n304,32,C
304,305,n305,7,C
305,306,n306,53,G
306,307,n307,14,C
307,308,n308,81,B
308,309,n309,96,G
309,310,n310,83,G
310,311,n311,34,F
311,312,n312,10,D
312,313,n313,63,C
313,314,n314,66,F
314,315,n315,73,E
315,316,n316,73,G
316,317,n317,83,B
317,318,n318,67,G
318,319,n319,74,B
319,320,n320,4,A
320,321,n321,52,E
321,322,n322,21,D
322,323,n323,5,G
323,324,n324,36,G
324,325,n325,19,G
325,326,n326,83,G
326,327,n327,48,F
327,328,n328,39,B
328,329,n329,38,F
329,330,n330,10,G
330,331,n331,11,E
331,332,n332,44,F
332,333,n333,9,G
333,334,n334,34,D
334,335,n335,8,C
335,336,n336,3,G
336,337,n337,5,C
337,338,n338,13,E
338,339,n339,76,C
339,340,n340,28,F
340,341,n341,69,G
341,342,n342,80,A
342,343,n343,21,B
343,344,n344,92,B
344,345,n345,72,D
345,346,n346,59,B
346,347,n347,77,E
347,348,n348,84,F
348,349,n349,84,A
349,350,n350,89,B
350,351,n351,23,C
351,352,n352,5,E
352,353,n353,94,D
353,354,n354,86,G
354,355,n355,99,E
355,356,n356,94,B
356,357,n357,11,B
357,358,n358,86,C
358,359,n359,94,F
359,360,n360,31,D
360,361,n361,88,D
361,362,n362,70,B
362,363,n363,12,C
363,364,n364,68,G
364,365,n365,97,B
365,366,n366,42,C
366,367,n367,94,A
367,368,n368,33,C
368,369,n369,30,A
369,370,n370,76,F
370,371,n371,92,F
371,372,n372,68,A
372,373,n373,98,E
373,374,n374,66,A
374,375,n375,70,D
375,376,n376,45,A
376,377,n377,83,A
377,378,n378,88,A
378,379,n379,24,D
379,380,n380,88,A
380,381,n381,78,D
381,382,n382,68,A
382,383,n383,39,E
383,384,n384,98,B
384,385,n385,79,G
385,386,n386,48,D
386,387,n387,65,E
387,388,n388,16,A
388,389,n389,9,A
389,390,n390,32,G
390,391,n391,48,D
391,392,n392,5,G
392,393,n393,77,A
393,394,n394,11,A
394,395,n395,70,G
395,396,n396,46,B
396,397,n397,53,C
397,398,n398,67,E
398,399,n399,53,B
399,400,n400,29,G
400,401,n401,27,D
401,402,n402,53,E
402,403,n403,98,C
403,404,n404,72,D
404,405,n405,61,G
405,406,n406,18,E
406,407,n407,56,B
407,408,n408,20,D
408,409,n409,55,E
409,410,n410,6,C
410,411,n411,28,C
411,412,n412,66,F
412,413,n413,8,A
413,414,n414,32,C
414,415,n415,32,F
415,416,n416,49,F
416,417,n417,31,A
417,418,n418,5,E
418,419,n419,12,C
419,420,n420,99,B
420,421,n421,76,C
421,422,n422,37,G
422,423,n423,39,A
423,424,n424,73,A
424,425,n425,2,A
425,426,n426,61,G
426,427,n427,91,E
427,428,n428,80,E
428,429,n429,68,D
429,430,n430,57,A
430,431,n431,89,A
431,432,n432,94,B
432,433,n433,64,G
433,434,n434,17,D
434,435,n435,75,G
435,436,n436,87,G
436,437,n437,83,C
437,438,n438,10,G
438,439,n439,30,E
439,440,n440,5,G
440,441,n441,7,B
441,442,n442,19,F
442,443,n443,82,B
443,444,n444,88,C
444,445,n445,1,C
445,446,n446,30,A
446,447,n447,88,G
447,448,n448,65,G
448,449,n449,35,G
449,450,n450,0,G
450,451,n451,91,C
451,452,n452,55,B
452,453,n453,53,C
453,454,n454,89,F
454,455,n455,59,F
455,456,n456,16,E
456,457,n457,97,A
457,458,n458,48,A
458,459,n459,70,C
459,460,n460,68,D
460,461,n461,44,D
461,462,n462,80,A
462,463,n463,96,A
463,464,n464,61,G
464,465,n465,79,C
465,466,n466,88,D
466,467,n467,36,F
467,468,n468,27,A
468,469,n469,64,B
469,470,n470,52,G
470,471,n471,27,C
471,472,n472,28,C
472,473,n473,48,B
473,474,n474,75,E
474,475,n475,50,C
475,476,n476,9,C
476,477,n477,53,E
477,478,n478,55,F
478,479,n479,6,G
479,480,n480,16,C
480,481,n481,34,A
481,482,n482,74,D
482,483,n483,83,E
483,484,n484,100,D
484,485,n485,13,B
485,486,n486,7,D
486,487,n487,64,F
487,488,n488,69,E
488,489,n489,87,A
489,490,n490,74,B
490,491,n491,93,A
491,492,n492,50,A
492,493,n493,70,C
493,494,n494,26,F
494,495,n495,1,E
495,496,n496,18,E
496,497,n497,45,E
497,498,n498,15,C
498,499,n499,71,B
499,500,n500,63,E
500,501,n501,95,E
501,502,n502,81,C
502,503,n503,39,G
503,504,n504,59,G
504,505,n505,51,F
505,506,n506,75,F
506,507,n507,87,A
507,508,n508,26,C
508,509,n509,3,A
509,510,n510,54,B
510,511,n511,0,D
511,512,n512,6,F
512,513,n513,31,B
513,514,n514,66,C
514,515,n515,85,B
515,516,n516,55,C
516,517,n517,93,E
517,518,n518,33,D
518,519,n519,6,B
519,520,n520,84,F
520,521,n521,57,F
521,522,n522,2,G
522,523,n523,62,C
523,524,n524,71,A
524,525,n525,11,D
525,526,n526,31,C
526,527,n527,4,F
527,528,n528,51,F
528,529,n529,47,A
529,530,n530,56,B
530,531,n531,77,G
531,532,n532,13,A
532,533,n533,85,F
533,534,n534,7,B
534,535,n535,73,G
535,536,n536,81,D
536,537,n537,98,E
537,538,n538,73,C
538,539,n539,58,G
539,540,n540,100,B
540,541,n541,28,E
541,542,n542,70,F
542,543,n543,16,G
543,544,n544,23,D
544,545,n545,58,E
545,546,n546,57,E
546,547,n547,52,B
547,548,n548,32,D
548,549,n549,64,F
549,550,n550,57,B
550,551,n551,36,F
551,552,n552,100,C
552,553,n553,36,F
553,554,n554,5,C
554,555,n555,23,G
555,556,n556,60,D
556,557,n557,90,G
557,558,n558,17,C
558,559,n559,4,E
559,560,n560,52,B
560,561,n561,27,B
561,562,n562,38,D
562,563,n563,49,C
563,564,n564,67,D
564,565,n565,24,B
565,566,n566,91,A
566,567,n567,55,C
567,568,n568,32,F
568,569,n569,42,C
569,570,n570,94,A
570,571,n571,93,G
571,572,n572,71,D
572,573,n573,14,F
573,574,n574,81,F
574,575,n575,99,B
575,576,n576,31,A
576,577,n577,19,E
577,578,n578,63,G
578,579,n579,99,D
579,580,n580,47,D
580,581,n581,87,F
581,582,n582,2,D
582,583,n583,100,C
583,584,n584,1,D
584,585,n585,68,D
585,586,n586,62,B
586,587,n587,89,A
587,588,n588,54,D
588,589,n589,9,E
589,590,n590,58,C
590,591,n591,82,F
591,592,n592,86,E
592,593,n593,46,C
593,594,n594,26,D
594,595,n595,85,D
595,596,n596,47,F
596,597,n597,29,B
597,598,n598,61,A
598,599,n599,91,A
599,600,n600,80,C
600,601,n601,46,C
601,602,n602,92,D
602,603,n603,19,G
603,604,n604,19,D
604,605,n605,45,E
605,606,n606,90,A
606,607,n607,51,D
607,608,n608,55,F
608,609,n609,3,A
609,610,n610,88,A
610,611,n611,95,C
611,612,n612,76,C
612,613,n613,65,A
613,614,n614,41,F
614,615,n615,38,A
615,616,n616,61,D
616,617,n617,31,B
617,618,n618,37,B
618,619,n619,40,G
619,620,n620,29,B
620,621,n621,68,A
621,622,n622,90,C
622,623,n623,19,F
623,624,n624,16,C
624,625,n625,77,D
625,626,n626,79,A
626,627,n627,18,G
627,628,n628,70,B
628,629,n629,53,F
629,630,n630,41,A
630,631,n631,1,E
631,632,n632,27,E
632,633,n633,75,B
633,634,n634,19,D
634,635,n635,23,F
635,636,n636,0,G
636,637,n637,28,E
637,638,n638,99,D
638,639,n639,75,D
639,640,n640,16,D
640,641,n641,95,D
641,642,n642,37,G
642,643,n643,7,C
643,644,n644,73,A
644,645,n645,73,A
645,646,n646,84,C
646,647,n647,33,F
647,648,n648,48,D
648,649,n649,17,C
649,650,n650,19,F
650,651,n651,25,G
651,652,n652,57,D
652,653,n653,97,A
653,654,n654,74,G
654,655,n655,80,C
655,656,n656,89,E
656,657,n657,42,A
657,658,n658,67,A
658,659,n659,15,D
659,660,n660,56,D
660,661,n661,11,E
661,662,n662,71,A
662,663,n663,95,E
663,664,n664,14,C
664,665,n665,32,A
665,666,n666,62,F
666,667,n667,29,B
667,668,n668,55,C
668,669,n669,31,C
669,670,n670,68,F
670,671,n671,42,G
671,672,n672,16,G
672,673,n673,39,D
673,674,n674,47,F
674,675,n675,84,C
675,676,n676,38,A
676,677,n677,8,E
677,678,n678,55,C
678,679,n679,22,F
679,680,n680,89,F
680,681,n681,39,C
681,682,n682,15,C
682,683,n683,86,F
683,684,n684,86,D
684,685,n685,73,F
685,686,n686,22,E
686,687,n687,7,D
687,688,n688,99,A
688,689,n689,58,E
689,690,n690,54,D
690,691,n691,61,D
691,692,n692,32,C
692,693,n693,16,E
693,694,n694,40,G
694,695,n695,84,E
695,696,n696,60,D
696,697,n697,26,B
697,698,n698,43,D
698,699,n699,47,A
699,700,n700,98,A
700,701,n701,32,D
701,702,n702,7,D
702,703,n703,86,G
703,704,n704,52,A
704,705,n705,96,A
705,706,n706,8,D
706,707,n707,43,F
707,708,n708,19,F
708,709,n709,11,C
709,710,n710,92,F
710,711,n711,62,E
711,712,n712,66,E
712,713,n713,17,F
713,714,n714,60,D
714,715,n715,94,A
715,716,n716,47,B
716,717,n717,22,D
717,718,n718,18,B
718,719,n719,85,C
719,720,n720,3,D
720,721,n721,68,G
721,722,n722,0,C
722,723,n723,3,C
723,724,n724,52,C
724,725,n725,39,B
725,726,n726,84,A
726,727,n727,54,B
727,728,n728,54,D
728,729,n729,25,F
729,730,n730,98,A
730,731,n731,8,G
731,732,n732,80,E
732,733,n733,61,G
733,734,n734,47,C
734,735,n735,42,D
735,736,n736,1,E
736,737,n737,23,C
737,738,n738,70,B
738,739,n739,27,E
739,740,n740,47,A
740,741,n741,25,B
741,742,n742,36,F
742,743,n743,69,E
743,744,n744,43,A
744,745,n745,74,D
745,746,n746,16,A
746,747,n747,85,G
747,748,n748,93,A
748,749,n749,62,F
749,750,n750,98,F
750,751,n751,47,A
751,752,n752,3,B
752,753,n753,99,F
753,754,n754,46,A
754,755,n755,41,D
755,756,n756,38,A
756,757,n757,87,E
757,758,n758,39,D
758,759,n759,73,C
759,760,n760,19,D
760,761,n761,66,F
761,762,n762,3,F
762,763,n763,24,G
763,764,n764,100,C
764,765,n765,22,A
765,766,n766,33,B
766,767,n767,81,B
767,768,n768,61,A
768,769,n769,28,B
769,770,n770,39,G
770,771,n771,69,E
771,772,n772,24,D
772,773,n773,68,B
773,774,n774,20,D
774,775,n775,92,E
775,776,n776,1,B
776,777,n777,7,F
777,778,n778,4,G
778,779,n779,91,D
779,780,n780,81,D
780,781,n781,16,G
781,782,n782,85,D
782,783,n783,67,G
783,784,n784,9,A
784,785,n785,46,C
785,786,n786,46,C
786,787,n787,93,A
787,788,n788,14,F
788,789,n789,90,G
789,790,n790,62,G
790,791,n791,47,A
791,792,n792,54,D
792,793,n793,13,D
793,794,n794,93,C
794,795,n795,11,D
795,796,n796,35,C
796,797,n797,0,E
797,798,n798,82,E
798,799,n799,98,B
799,800,n800,10,E
800,801,n801,0,F
801,802,n802,35,D
802,803,n803,74,E
803,804,n804,66,B
804,805,n805,71,E
805,806,n806,66,G
806,807,n807,6,C
807,808,n808,96,E
808,809,n809,86,D
809,810,n810,25,C
810,811,n811,69,B
811,812,n812,82,D
812,813,n813,47,D
813,814,n814,54,F
814,815,n815,54,C
815,816,n816,35,F
816,817,n817,44,F
817,818,n818,55,A
818,819,n819,21,G
819,820,n820,1,G
820,821,n821,86,F
821,822,n822,43,G
822,823,n823,29,B
823,824,n824,12,B
824,825,n825,11,F
825,826,n826,80,B
826,827,n827,36,B
827,828,n828,83,C
828,829,n829,14,D
829,830,n830,67,F
830,831,n831,38,D
831,832,n832,87,C
832,833,n833,84,C
833,834,n834,4,B
834,835,n835,87,E
835,836,n836,93,C
836,837,n837,40,G
837,838,n838,8,F
838,839,n839,93,E
839,840,n840,47,A
840,841,n841,45,C
841,842,n842,90,E
842,843,n843,72,A
843,844,n844,18,F
844,845,n845,73,A
845,846,n846,48,B
846,847,n847,71,A
847,848,n848,45,E
848,849,n849,79,A
849,850,n850,47,B
850,851,n851,86,G
851,852,n852,47,A
852,853,n853,52,E
853,854,n854,67,A
854,855,n855,42,G
855,856,n856,0,E
856,857,n857,28,F
857,858,n858,81,F
858,859,n859,35,F
859,860,n860,7,C
860,861,n861,11,C
861,862,n862,41,B
862,863,n863,29,B
863,864,n864,20,G
864,865,n865,2,A
865,866,n866,76,G
866,867,n867,89,B
867,868,n868,94,B
868,869,n869,67,F
869,870,n870,34,A
870,871,n871,23,G
871,872,n872,73,B
872,873,n873,38,D
873,874,n874,50,A
874,875,n875,88,B
875,876,n876,97,A
876,877,n877,95,C
877,878,n878,7,D
878,879,n879,39,A
879,880,n880,95,B
880,881,n881,70,F
881,882,n882,11,F
882,883,n883,33,C
883,884,n884,18,G
884,885,n885,53,G
885,886,n886,75,F
886,887,n887,55,E
887,888,n888,25,F
888,889,n889,70,A
889,890,n890,6,G
890,891,n891,35,A
891,892,n892,25,F
892,893,n893,13,E
893,894,n894,4,C
894,895,n895,84,G
895,896,n896,34,A
896,897,n897,12,G
897,898,n898,42,A
898,899,n899,1,F
899,900,n900,90,A
900,901,n901,19,G
901,902,n902,56,C
902,903,n903,80,F
903,904,n904,26,G
904,905,n905,0,E
905,906,n906,95,E
906,907,n907,48,A
907,908,n908,56,E
908,909,n909,21,F
909,910,n910,62,A
910,911,n911,52,A
911,912,n912,7,E
912,913,n913,47,B
913,914,n914,44,E
914,915,n915,39,A
915,916,n916,46,F
916,917,n917,93,A
917,918,n918,10,E
918,919,n919,19,B
919,920,n920,29,G
920,921,n921,66,F
921,922,n922,37,G
922,923,n923,80,F
923,924,n924,0,F
924,925,n925,38,C
925,926,n926,24,G
926,927,n927,46,G
927,928,n928,83,E
928,929,n929,1,C
929,930,n930,13,G
930,931,n931,33,A
931,932,n932,27,E
932,933,n933,71,D
933,934,n934,36,G
934,935,n935,64,A
935,936,n936,56,C
936,937,n937,46,G
937,938,n938,52,B
938,939,n939,20,B
939,940,n940,6,C
940,941,n941,91,D
941,942,n942,53,D
942,943,n943,18,C
943,944,n944,68,C
944,945,n945,6,E
945,946,n946,41,E
946,947,n947,3,F
947,948,n948,37,G
948,949,n949,53,A
949,950,n950,44,E
950,951,n951,37,G
951,952,n952,72,F
952,953,n953,82,C
953,954,n954,50,A
954,955,n955,76,F
955,956,n956,42,F
956,957,n957,27,F
957,958,n958,11,F
958,959,n959,78,G
959,960,n960,22,E
960,961,n961,93,E
961,962,n962,83,G
962,963,n963,40,A
963,964,n964,18,G
964,965,n965,16,E
965,966,n966,91,D
966,967,n967,52,D
967,968,n968,72,F
968,969,n969,50,D
969,970,n970,48,B
970,971,n971,12,G
971,972,n972,1,A
972,973,n973,38,F
973,974,n974,10,E
974,975,n975,68,F
975,976,n976,48,G
976,977,n977,81,C
977,978,n978,16,C
978,979,n979,96,G
979,980,n980,95,G
980,981,n981,16,C
981,982,n982,73,E
982,983,n983,15,E
983,984,n984,28,F
984,985,n985,4,F
985,986,n986,90,F
986,987,n987,78,E
987,988,n988,3,F
988,989,n989,78,B
989,990,n990,74,C
990,991,n991,49,F
991,992,n992,2,C
992,993,n993,42,E
993,994,n994,30,C
994,995,n995,66,B
995,996,n996,62,G
996,997,n997,77,G
997,998,n998,38,A
998,999,n999,36,A
999,1000,n1000,65,C
1000,1001,n1001,9,F
1001,1002,n1002,27,F
1002,1003,n1003,26,E
1003,1004,n1004,41,B
1004,1005,n1005,10,B
1005,1006,n1006,91,E
1006,1007,n1007,0,B
1007,1008,n1008,61,F
1008,1009,n1009,6,A
1009,1010,n1010,94,A
1010,1011,n1011,28,C
1011,1012,n1012,86,E
1012,1013,n1013,85,D
1013,1014,n1014,52,C
1014,1015,n1015,34,F
1015,1016,n1016,78,C
1016,1017,n1017,77,G
1017,1018,n1018,19,A
1018,1019,n1019,15,F
1019,1020,n1020,38,F
1020,1021,n1021,2,E
1021,1022,n1022,7,G
1022,1023,n1023,40,A
1023,1024,n1024,39,F
1024,1025,n1025,75,G
1025,1026,n1026,62,A
1026,1027,n1027,41,D
1027,1028,n1028,77,A
1028,1029,n1029,18,E
1029,1030,n1030,100,F
1030,1031,n1031,13,G
1031,1032,n1032,16,E
1032,1033,n1033,59,C
1033,1034,n1034,74,A
1034,1035,n1035,61,E
1035,1036,n1036,57,D
1036,1037,n1037,12,E
1037,1038,n1038,88,F
1038,1039,n1039,41,G
1039,1040,n1040,66,E
1040,1041,n1041,31,E
1041,1042,n1042,82,A
1042,1043,n1043,96,A
1043,1044,n1044,91,A
1044,1045,n1045,87,G
1045,1046,n1046,47,F
1046,1047,n1047,8,D
1047,1048,n1048,58,G
1048,1049,n1049,73,B
1049,1050,n1050,77,D
1050,1051,n1051,96,D
1051,1052,n1052,65,B
1052,1053,n1053,45,A
1053,1054,n1054,31,D
1054,1055,n1055,81,B
1055,1056,n1056,98,C
1056,1057,n1057,83,D
1057,1058,n1058,71,C
1058,1059,n1059,79,F
1059,1060,n1060,68,C
1060,1061,n1061,7,A
1061,1062,n1062,55,A
1062,1063,n1063,23,E
1063,1064,n1064,3,E
1064,1065,n1065,35,B
1065,1066,n1066,79,D
1066,1067,n1067,68,B
1067,1068,n1068,6,D
1068,1069,n1069,52,E
1069,1070,n1070,25,C
1070,1071,n1071,21,D
1071,1072,n1072,69,G
1072,1073,n1073,17,A
1073,1074,n1074,56,E
1074,1075,n1075,60,E
1075,1076,n1076,66,G
1076,1077,n1077,39,E
1077,1078,n1078,73,B
1078,1079,n1079,22,G
1079,1080,n1080,31,A
1080,1081,n1081,14,B
1081,1082,n1082,10,D
1082,1083,n1083,45,D
1083,1084,n1084,88,C
1084,1085,n1085,61,B
1085,1086,n1086,89,B
1086,1087,n1087,71,B
1087,1088,n1088,15,D
1088,1089,n1089,75,G
1089,1090,n1090,18,F
1090,1091,n1091,72,E
1091,1092,n1092,39,G
1092,1093,n1093,67,A
1093,1094,n1094,2,C
1094,1095,n1095,90,A
1095,1096,n1096,72,D
1096,1097,n1097,58,A
1097,1098,n1098,23,E
1098,1099,n1099,15,B
1099,1100,n1100,65,E
1100,1101,n1101,71,F
1101,1102,n1102,71,C
1102,1103,n1103,4,F
1103,1104,n1104,77,D
1104,1105,n1105,38,G
1105,1106,n1106,35,C
1106,1107,n1107,80,B
1107,1108,n1108,62,G
1108,1109,n1109,24,A
1109,1110,n1110,54,C
1110,1111,n1111,14,B
1111,1112,n1112,6,E
1112,1113,n1113,55,F
1113,1114,n1114,86,B
1114,1115,n1115,32,A
1115,1116,n1116,56,B
1116,1117,n1117,6,F
1117,1118,n1118,87,A
1118,1119,n1119,58,D
1119,1120,n1120,61,E
1120,1121,n1121,86,G
1121,1122,n1122,17,A
1122,1123,n1123,92,E
1123,1124,n1124,42,D
1124,1125,n1125,86,G
1125,1126,n1126,19,B
1126,1127,n1127,11,F
1127,1128,n1128,11,D
1128,1129,n1129,78,F
1129,1130,n1130,24,A
1130,1131,n1131,85,F
1131,1132,n1132,61,C
1132,1133,n1133,4,B
1133,1134,n1134,91,G
1134,1135,n1135,55,F
1135,1136,n1136,28,G
1136,1137,n1137,1,D
1137,1138,n1138,25,F
1138,1139,n1139,60,A
1139,1140,n1140,8,C
1140,1141,n1141,50,G
1141,1142,n1142,43,F
1142,1143,n1143,9,E
1143,1144,n1144,78,F
1144,1145,n1145,99,B
1145,1146,n1146,48,C
1146,1147,n1147,22,F
1147,1148,n1148,4,F
1148,1149,n1149,30,E
1149,1150,n1150,80,F
1150,1151,n1151,32,B
1151,1152,n1152,10,B
1152,1153,n1153,62,E
1153,1154,n1154,68,C
1154,1155,n1155,28,G
1155,1156,n1156,64,G
1156,1157,n1157,64,G
1157,1158,n1158,97,F
1158,1159,n1159,20,F
1159,1160,n1160,11,E
1160,1161,n1161,39,E
1161,1162,n1162,36,D
1162,1163,n1163,40,D
1163,1164,n1164,65,C
1164,1165,n1165,12,C
1165,1166,n1166,100,E
1166,1167,n1167,70,F
1167,1168,n1168,19,G
1168,1169,n1169,25,D
1169,1170,n1170,82,E
1170,1171,n1171,61,B
1171,1172,n1172,54,C
1172,1173,n1173,89,F
1173,1174,n1174,36,A
1174,1175,n1175,22,G
1175,1176,n1176,98,F
1176,1177,n1177,87,D
1177,1178,n1178,89,A
1178,1179,n1179,36,A
1179,1180,n1180,42,D
1180,1181,n1181,25,B
1181,1182,n1182,49,G
1182,1183,n1183,45,B
1183,1184,n1184,73,F
1184,1185,n1185,41,E
1185,1186,n1186,87,E
1186,1187,n1187,8,C
1187,1188,n1188,54,D
1188,1189,n1189,90,E
1189,1190,n1190,83,E
1190,1191,n1191,77,E
1191,1192,n1192,32,C
1192,1193,n1193,77,F
1193,1194,n1194,72,G
1194,1195,n1195,30,G
1195,1196,n1196,24,C
1196,1197,n1197,28,C
1197,1198,n1198,15,A
1198,1199,n1199,37,F
1199,1200,n1200,99,C
1200,1201,n1201,16,F
1201,1202,n1202,62,F
1202,1203,n1203,86,B
1203,1204,n1204,60,A
1204,1205,n1205,65,C
1205,1206,n1206,57,B
1206,1207,n1207,4,A
1207,1208,n1208,16,E
1208,1209,n1209,60,C
1209,1210,n1210,69,D
1210,1211,n1211,0,G
1211,1212,n1212,78,C
